iter	Logloss
0	0.6887276235
1	0.6852559539
2	0.6815173717
3	0.6774253963
4	0.6742367801
5	0.6699547527
6	0.6665085761
7	0.6626846478
8	0.6586794235
9	0.6546799304
10	0.6506054456
11	0.6469552487
12	0.6427934667
13	0.6396784617
14	0.63605387
15	0.6327686249
16	0.629291909
17	0.6261666823
18	0.6229387646
19	0.6203674097
20	0.6173245947
21	0.6147160331
22	0.611840201
23	0.6083375453
24	0.604922883
25	0.6015966114
26	0.5987226778
27	0.5963100689
28	0.5934921939
29	0.5906401896
30	0.5879878044
31	0.585273993
32	0.5829607081
33	0.5811727142
34	0.5787540216
35	0.5764491314
36	0.5739018459
37	0.5723689952
38	0.5702593681
39	0.5675220496
40	0.5654404733
41	0.563071251
42	0.5605945932
43	0.5576478923
44	0.5553824031
45	0.5533324496
46	0.5518024032
47	0.5499919533
48	0.5476227803
49	0.5452681545
50	0.5430507531
51	0.5408289651
52	0.5383871552
53	0.5364911625
54	0.534869364
55	0.5329287644
56	0.531634059
57	0.5299906983
58	0.5278386196
59	0.5265591688
60	0.5253382867
61	0.5234296873
62	0.5218792888
63	0.5203060853
64	0.518988306
65	0.516945944
66	0.5154524649
67	0.5138271115
68	0.5124553903
69	0.5109846896
70	0.5094686492
71	0.5079193601
72	0.5058005384
73	0.5043396713
74	0.5025723265
75	0.5013208646
76	0.4994579885
77	0.4977904155
78	0.4966109195
79	0.4956108068
80	0.4943121691
81	0.4926793999
82	0.4912456687
83	0.4899925302
84	0.4886795292
85	0.487268536
86	0.4855687627
87	0.4841383995
88	0.4831666338
89	0.481764091
90	0.4808438743
91	0.4798315164
92	0.4783902541
93	0.4774559683
94	0.4764017093
95	0.4752722947
96	0.4741352214
97	0.4730700643
98	0.4718073154
99	0.4709653619
100	0.4696366354
101	0.4683862168
102	0.4672617611
103	0.4665111852
104	0.4653611639
105	0.464302956
106	0.4632026673
107	0.4623355813
108	0.4614903586
109	0.4603614476
110	0.459685723
111	0.4585602307
112	0.4572861954
113	0.4562181169
114	0.4554180016
115	0.4546198862
116	0.4536801301
117	0.4525243525
118	0.4514893231
119	0.4503332174
120	0.4490901015
121	0.4479458659
122	0.447331083
123	0.4467716279
124	0.4459195927
125	0.445217559
126	0.4443024374
127	0.4435045506
128	0.4423371754
129	0.4417744553
130	0.4410155481
131	0.4401848487
132	0.4396144274
133	0.4388963661
134	0.4381878739
135	0.4370550244
136	0.4362563908
137	0.4352887031
138	0.434603483
139	0.4338156842
140	0.4328148949
141	0.4318843276
142	0.4316613741
143	0.4312810698
144	0.4305611801
145	0.4301916606
146	0.4296354472
147	0.4289940285
148	0.4282142286
149	0.4273862386
150	0.4266934391
151	0.425915997
152	0.4250469511
153	0.4240011299
154	0.4233018431
155	0.4222873164
156	0.4217510761
157	0.4209670403
158	0.420299321
159	0.4198826438
160	0.4191704607
161	0.4185510614
162	0.4179023173
163	0.4170155473
164	0.4163840255
165	0.4156706718
166	0.4146915051
167	0.4138161239
168	0.4132164127
169	0.4125105744
170	0.4117084497
171	0.4109830898
172	0.4105843776
173	0.4099571176
174	0.4093832724
175	0.4088375377
176	0.4083974288
177	0.4078928992
178	0.4074037763
179	0.4068281185
180	0.406312359
181	0.4054090469
182	0.4047005361
183	0.403909621
184	0.4030639404
185	0.4024626686
186	0.4017322888
187	0.4012287552
188	0.4006470823
189	0.4000171006
190	0.3991502817
191	0.3984792493
192	0.3978683998
193	0.3975227216
194	0.396997034
195	0.3967283857
196	0.3962875197
197	0.39593478
198	0.3954591696
199	0.3948124643
200	0.3945703942
201	0.3940824556
202	0.3936536512
203	0.3930613195
204	0.3926693522
205	0.392208294
206	0.3913830137
207	0.3910167461
208	0.3905841521
209	0.3898797697
210	0.3892874222
211	0.3888080985
212	0.388364897
213	0.3878264477
214	0.3871837798
215	0.3867941633
216	0.3863044422
217	0.3859135397
218	0.3853735027
219	0.3848954374
220	0.3846258711
221	0.3841095207
222	0.3836993399
223	0.3833549685
224	0.3828201085
225	0.3825462734
226	0.382116654
227	0.3819990369
228	0.3815965867
229	0.3813095754
230	0.3809983938
231	0.3804614971
232	0.3799814619
233	0.3795971508
234	0.3792724582
235	0.378809915
236	0.3785950114
237	0.3782481959
238	0.377856052
239	0.3774539204
240	0.3769721806
241	0.3763040834
242	0.3759518178
243	0.3756805037
244	0.3753377638
245	0.3748494707
246	0.3746286209
247	0.3742447643
248	0.3736839743
249	0.3734492915
250	0.3729386087
251	0.3725948325
252	0.3722847834
253	0.372021282
254	0.3716733142
255	0.3713388713
256	0.3707421502
257	0.3703925845
258	0.3699989478
259	0.3695699853
260	0.3693676097
261	0.3689014154
262	0.3685710562
263	0.3680858761
264	0.3676186092
265	0.3671359791
266	0.3667209419
267	0.366311852
268	0.3659803034
269	0.3655746918
270	0.3650889808
271	0.3646415016
272	0.3644268233
273	0.3640198917
274	0.363821828
275	0.3635031666
276	0.3631375455
277	0.362735204
278	0.3624895492
279	0.3622485868
280	0.3620032787
281	0.3616991639
282	0.3612493246
283	0.3608460131
284	0.3602833792
285	0.3598990813
286	0.3593720457
287	0.3589152019
288	0.358660861
289	0.3582892567
290	0.3579723496
291	0.3577809066
292	0.3575942365
293	0.357226824
294	0.3568330757
295	0.3563660349
296	0.3559510667
297	0.3555709714
298	0.355389072
299	0.3549936579
300	0.3546646873
301	0.3542863872
302	0.3538945505
303	0.3534554733
304	0.3531963307
305	0.3528564144
306	0.3525253441
307	0.3523179191
308	0.3520218028
309	0.351720383
310	0.3514304398
311	0.3511065951
312	0.3507025146
313	0.3504972847
314	0.3500802794
315	0.3495803737
316	0.3494531904
317	0.3489433188
318	0.3487916565
319	0.3485833871
320	0.3483311658
321	0.3481209551
322	0.3478801919
323	0.3476644457
324	0.3472552732
325	0.3468448539
326	0.3467104372
327	0.3464025173
328	0.3459940428
329	0.3457123497
330	0.3455166126
331	0.3450746252
332	0.3446609973
333	0.3444149304
334	0.3440424177
335	0.3436559875
336	0.3434369752
337	0.3430595807
338	0.3429506766
339	0.3426946502
340	0.3423197947
341	0.3419149571
342	0.3416534852
343	0.3412782129
344	0.3409997087
345	0.3407406103
346	0.340528994
347	0.3403198173
348	0.3398989329
349	0.3397472853
350	0.3394421049
351	0.3392027212
352	0.3389796616
353	0.3387607761
354	0.3381889463
355	0.337797606
356	0.3376820101
357	0.3373764316
358	0.3371122045
359	0.336872421
360	0.3365593997
361	0.3364005831
362	0.3360524959
363	0.3357879215
364	0.3355180581
365	0.3353347992
366	0.3350931597
367	0.334553237
368	0.3341160786
369	0.3339083683
370	0.3336816426
371	0.3331147989
372	0.3328931272
373	0.3327919807
374	0.3325215572
375	0.3323558763
376	0.3321765574
377	0.3319177261
378	0.3316712672
379	0.3313994198
380	0.3310353607
381	0.3305968834
382	0.3301096601
383	0.3297246309
384	0.3295793738
385	0.3291168457
386	0.329005764
387	0.328792878
388	0.3285198794
389	0.3281815881
390	0.3277753524
391	0.327564775
392	0.3272276151
393	0.3269359223
394	0.326724462
395	0.32641284
396	0.3263209502
397	0.3260319701
398	0.3257082482
399	0.3254572672
400	0.3252620487
401	0.3248758062
402	0.324536839
403	0.3243170367
404	0.3240181713
405	0.323684373
406	0.3232360564
407	0.3230092911
408	0.3228381496
409	0.3226052289
410	0.322239789
411	0.3219274594
412	0.321475954
413	0.3211216956
414	0.3206645057
415	0.3204272009
416	0.3201287016
417	0.3199090806
418	0.3194196629
419	0.3191726283
420	0.3186728756
421	0.3184119231
422	0.3181946151
423	0.3179100948
424	0.3176903694
425	0.3173856182
426	0.3171225826
427	0.316882897
428	0.316636172
429	0.3163305646
430	0.3160806608
431	0.3157920257
432	0.3156568115
433	0.3153086342
434	0.3151206035
435	0.3149127254
436	0.3147362612
437	0.3143320676
438	0.314021629
439	0.3137478394
440	0.3135768948
441	0.3132667194
442	0.3129269851
443	0.3126734405
444	0.3124908524
445	0.3122266953
446	0.3120093486
447	0.3118575858
448	0.311617985
449	0.3114004932
450	0.311133719
451	0.3110161516
452	0.3108131329
453	0.3106042385
454	0.3105111959
455	0.3103531682
456	0.3101826652
457	0.3100041152
458	0.3097026719
459	0.309588537
460	0.3093648026
461	0.3090882581
462	0.3087157421
463	0.3085722383
464	0.3083421275
465	0.3081570926
466	0.3078960174
467	0.3076076118
468	0.3073297241
469	0.307035546
470	0.3067739825
471	0.3064525086
472	0.3062263113
473	0.3060793398
474	0.3058750579
475	0.3054239559
476	0.3052188456
477	0.3049872628
478	0.3047540763
479	0.3043983702
480	0.3041913908
481	0.3040315954
482	0.3037909589
483	0.303481775
484	0.3029342972
485	0.3027893028
486	0.302515296
487	0.3022798296
488	0.3020803408
489	0.3019275084
490	0.3016255869
491	0.3013137889
492	0.3011037704
493	0.3008903492
494	0.3007581002
495	0.3005703334
496	0.3003436878
497	0.3000783809
498	0.2998256212
499	0.2995293786
